Date,Team 1,Team 2,Goals1,Goals2,Elo1,Elo2,Stage
1978-06-14,Brazil,Peru,3,0,1697.513898193767,1532.4645686964293,Second round
1978-06-14,West Germany,Italy,0,0,1702.8975245097881,1635.5076110823672,Second round
1978-06-14,Netherlands,Austria,5,1,1588.405473996226,1541.7912748183867,Second round
1978-06-18,Argentina,Brazil,0,0,1548.591686094651,1713.1303185049492,Second round
1978-06-18,Italy,Austria,1,0,1638.5726892834393,1514.0590244983712,Second round
1978-06-18,West Germany,Netherlands,2,2,1699.832446308716,1616.1377243162415,Second round
1978-06-18,Poland,Peru,1,0,1598.160495965437,1516.8481483852474,Second round
1978-06-21,Netherlands,Italy,2,1,1619.9191456667177,1649.072120732531,Second round
1978-06-21,Austria,West Germany,3,2,1503.5595930492796,1696.0510249582399,Second round
1978-06-21,Argentina,Peru,6,0,1555.6490868745311,1504.5258189295325,Second round
1978-06-21,Brazil,Poland,3,1,1706.0729177250691,1610.4828254211518,Second round
1978-06-24,Brazil,Italy,2,1,1723.631505049785,1631.7327185944582,Third-place match
1978-06-25,Argentina,Netherlands,3,1,1589.8054171885626,1637.2585478047904,Final
1982-06-13,Argentina,Belgium,0,1,1617.0631315753271,1402.482762860502,First group stage
1982-06-14,Brazil,Soviet Union,2,1,1735.495420792219,1579.3309527062163,First group stage
1982-06-14,Italy,Poland,0,0,1619.8688028520241,1592.924238096436,First group stage
1982-06-15,Scotland,New Zealand,5,2,1478.1731954660968,1500.0,First group stage
1982-06-15,Hungary,El Salvador,10,1,1549.5866348685488,1409.7503416861084,First group stage
1982-06-15,Peru,Cameroon,0,0,1470.369488615501,1500.0,First group stage
1982-06-16,Spain,Honduras,1,1,1493.8869344972102,1500.0,First group stage
1982-06-16,West Germany,Algeria,1,2,1671.994414435578,1500.0,First group stage
1982-06-16,England,France,3,1,1595.2577267972279,1508.0711032831443,First group stage
1982-06-17,Chile,Austria,0,1,1497.7665962947713,1527.6162035719415,First group stage
1982-06-17,Yugoslavia,Northern Ireland,0,0,1526.1533445955617,1478.9554519468911,First group stage
1982-06-17,Czechoslovakia,Kuwait,1,1,1482.892713235838,1500.0,First group stage
1982-06-18,Brazil,Scotland,4,1,1744.7519105433591,1507.9299176177335,First group stage
