Date,Match #,Stage,Team 1,Team 2,Elo1,Elo2,Goals1,Goals2,Attack_Rating_T1,Attack_Rating_T2,Defense_Rating_T1,Defense_Rating_T2,Form_Last5_T1,Form_Last5_T2,Form_Weighted_T1,Form_Weighted_T2
12/6/2022,56,Round of 16,Portugal,Switzerland,2005,1901,6,1,3.5,2.25,0.5,0.5,27,20,54.14,38.02
12/9/2022,57,Quarter-finals,Croatia,Brazil,1926,2169,1,1,1.5,2.4,0.38,0.4,27,26,52.02,56.39
12/9/2022,58,Quarter-finals,Netherlands,Argentina,2040,2143,2,2,2.75,2.14,0.5,0.79,31,28,63.24,60
########,59,Quarter-finals,Morocco,Portugal,1764,2005,1,0,1.83,3.5,0.5,0.5,20,30,35.28,60.15
########,60,Quarter-finals,England,France,1919,2004,1,2,2.5,2.13,0.38,0.63,33,24,63.33,48.1
########,61,Semi-finals,Argentina,Croatia,2143,1926,3,0,2.14,1.5,0.79,0.38,31,27,66.43,52.02
########,62,Semi-finals,France,Morocco,2004,1764,2,0,2.13,1.83,0.63,0.5,27,20,54.11,35.28
########,63,3rd Place Final,Croatia,Morocco,1926,1764,2,1,1.5,1.83,0.38,0.5,30,20,57.78,35.28
########,64,Final,Argentina,France,2143,2004,3,3,2.14,2.13,0.79,0.63,34,27,72.86,54.11
6/11/2026,1,Group A,Mexico,South Africa,1721.78,1418.21,2,0,1.8,2,0.4,0.2,10,13,17.22,18.44
6/11/2026,2,Group A,Korea Republic,Czechia,1591.75,1481.49,2,1,1.83,1.5,0.83,1.17,11,9,17.51,13.33
6/12/2026,3,Group B,Canada,Bosnia and Herzegovina,1572.13,1381.18,1,1,2.4,1.38,0.4,1.13,12,7,18.87,9.67
6/12/2026,4,Group D,USA,Paraguay,1709.59,1517.39,4,1,2,0.88,0.5,1.13,13,6,22.22,9.1
6/13/2026,5,Group B,Qatar,Switzerland,1438.82,1654.94,1,1,1.83,2,1,0.5,12,10,17.27,16.55
6/13/2026,6,Group C,Brazil,Morocco,1772.01,1769.98,1,1,2.17,1.83,0.33,0.67,16,13,28.35,23.01
6/13/2026,7,Group C,Haiti,Scotland,1271,1504.41,0,3,1,1.33,1.67,1,7,10,8.9,15.04
6/13/2026,8,Group D,Australia,Turkiye,1584.55,1550.13,2,0,1.67,1.83,0.83,1,10,12,15.85,18.6
6/14/2026,9,Group E,Germany,Curacao,1760.46,1299.41,7,1,2.33,1.5,0.33,1.5,16,9,28.17,11.69
6/14/2026,10,Group F,Netherlands,Japan,1764.4,1681.26,2,2,2.33,1.83,0.5,0.67,13,11,22.94,18.49
6/14/2026,11,Group E,Cote d'Ivoire,Ecuador,1551.71,1558.35,1,0,2,1.33,1,0.67,13,8,20.17,12.47
6/14/2026,12,Group F,Sweden,Tunisia,1517.99,1437.69,5,1,1.5,1.17,1.17,0.83,9,10,13.66,14.38
6/15/2026,13,Group H,Spain,Cabo Verde,1864.32,1401.77,0,0,2.17,1.83,0.5,0.5,16,11,29.83,15.42
6/15/2026,14,Group G,Belgium,Egypt,1727.88,1583.37,1,1,2.25,2,0.38,0.2,20,20,34.56,31.67
6/15/2026,15,Group H,Saudi Arabia,Uruguay,1426.71,1649.96,1,1,1.83,1.83,0.67,1,13,8,18.55,13.2
6/15/2026,16,Group G,IR Iran,New Zealand,1611.18,1277.34,2,2,1.83,0.83,0.5,0.83,11,7,17.72,8.94
6/16/2026,17,Group I,France,Senegal,1887.11,1667.66,3,1,2.17,1.67,1,0.67,16,10,30.19,16.68
6/16/2026,18,Group I,Iraq,Norway,1426.53,1577.18,1,4,1.33,1.5,0.67,0.67,8,13,11.41,20.5
6/16/2026,19,Group J,Argentina,Algeria,1889.06,1559.24,3,0,1.83,2,0.33,0.5,13,22,24.56,34.3
6/16/2026,20,Group J,Austria,Jordan,1612.86,1372.29,3,1,1.83,1.38,0.5,0.5,19,11,30.64,15.09
